id,jenis kelamin,senam ritmik,renang,atletik
10811,L,85,88,92
10849,L,85,87,88
10595,P,85,85,88
10597,P,85,86,92
10598,L,80,96,84
10599,P,80,75,78
10600,P,85,87,90
10710,P,85,80,90
10678,P,80,84,86
10601,P,85,75,92
10602,L,85,88,80
10604,P,85,81,90
10783,P,85,75,78
10605,L,85,86,90
10606,L,85,85,90
10643,L,85,87,86
10607,L,75,87,66
10856,P,85,87,86
10753,P,85,86,62
10685,P,85,90,82
10686,P,85,84,86
10723,L,85,89,76
10612,L,80,75,90
10614,L,85,80,90
10728,L,85,90,86
10766,P,85,85,90
10801,P,85,84,66
10623,P,90,87,92
10624,L,90,87,94
10627,P,90,89,92
10662,P,90,90,84
10628,P,90,86,90
10630,P,90,85,90
10875,L,90,97,90
10735,P,90,85,92
10878,P,90,84,84
10633,P,85,87,86
10741,L,85,88,76
10707,P,86,75,84
10812,P,87,86,84
10813,P,89,75,52
10677,P,86,86,76
10635,P,85,85,94
10744,P,85,84,78
10745,P,87,87,88
10780,L,85,75,56
10638,L,87,88,86
10748,L,87,88,82
10639,L,85,86,70
10641,P,85,84,80
10603,P,85,90,78
10750,P,85,86,82
10824,P,90,86,66
10717,P,85,90,86
10786,L,87,90,76
10755,L,85,75,62
10795,L,85,87,68
10831,L,85,89,68
10790,L,85,92,68
10760,L,80,95,74
10799,L,87,87,62
10617,P,85,88,86
10765,P,85,87,82
10768,P,85,84,60
10805,L,85,87,74
10807,P,85,87,86
10873,P,85,88,70
10879,P,85,86,88
10845,L,85,75,76
10666,P,85,90,86
10740,L,87,83,52
10705,P,85,75,62
10672,P,85,84,84
10708,P,85,85,76
10778,P,87,87,78
10779,P,87,84,80
10814,P,87,83,68
10815,P,80,83,62
10679,P,87,83,68
10711,P,87,88,76
10818,L,85,87,70
10749,L,80,89,64
10720,P,85,87,82
10684,L,85,87,70
10610,P,85,83,86
10650,L,85,85,68
10757,P,85,83,80
10611,L,85,88,64
10724,L,80,88,68
10652,L,80,89,64
10687,L,80,85,76
10616,L,80,95,68
10761,L,80,83,70
10866,P,87,83,50
10800,P,87,86,62
10618,L,87,88,90
10869,P,87,84,78
10696,P,87,87,56
10619,P,87,84,78
10731,L,87,87,76
10870,P,87,88,76
10732,L,87,85,84
10809,P,87,83,82
10737,P,87,90,82
10847,L,87,87,76
10704,L,85,75,62
10596,P,87,86,88
10674,L,87,75,82
10709,P,85,85,74
10816,L,85,85,64
10637,P,87,86,72
10820,P,85,83,86
10854,L,85,75,78
10784,L,87,87,64
10751,P,87,90,68
10855,P,87,86,84
10644,L,85,75,58
10718,P,87,85,88
10645,L,85,75,84
10609,P,85,86,88
10796,L,80,85,56
10758,L,80,85,74
10613,L,80,75,72
10727,L,85,90,74
10767,L,80,87,70
10660,P,87,87,72
10620,P,85,87,70
10622,P,87,87,88
10803,L,85,85,74
10733,P,85,85,80
10773,P,85,86,84
10629,P,85,85,82
10810,P,85,75,74
10877,P,85,88,86
10844,P,85,83,76
10846,P,85,87,78
10738,P,85,83,86
10774,P,87,87,74
